name,year,theme,theme_id,num_parts,img_url
Wallpaper Wendy (Explore),2002,Bob the Builder,626,10,https://cdn.rebrickable.com/media/sets/3278-1.jpg
Bob at Work,2002,Bob the Builder,626,10,https://cdn.rebrickable.com/media/sets/3279-1.jpg
Michael Mouse and his New Car,1979,Fabuland,390,23,https://cdn.rebrickable.com/media/sets/328-1.jpg
Naughty Spud,2002,Bob the Builder,626,10,https://cdn.rebrickable.com/media/sets/3281-1.jpg
Biplane,1967,System,365,44,https://cdn.rebrickable.com/media/sets/328-2.jpg
Clock Tower Bob,2002,Bob the Builder,626,50,https://cdn.rebrickable.com/media/sets/3282-1.jpg
Dizzy's Birdwatch,2002,Bob the Builder,626,45,https://cdn.rebrickable.com/media/sets/3283-1.jpg
Bob's Busy Day,2003,Bob the Builder,626,10,https://cdn.rebrickable.com/media/sets/3284-1.jpg
Wendy in the Office,2003,Bob the Builder,626,10,https://cdn.rebrickable.com/media/sets/3285-1.jpg
Spud & Bird,2003,Bob the Builder,626,10,https://cdn.rebrickable.com/media/sets/3286-1.jpg
Takutanuva,2004,Bionicle,324,0,https://cdn.rebrickable.com/media/sets/3287-1.jpg
Packer,2007,Bob the Builder,626,19,https://cdn.rebrickable.com/media/sets/3288-1.jpg
Muck & Roley in the Sunflower Factory,2007,Bob the Builder,626,36,https://cdn.rebrickable.com/media/sets/3289-1.jpg
The Big Family House,1997,Scala,668,316,https://cdn.rebrickable.com/media/sets/3290-1.jpg
Antique Car,1967,System,365,111,https://cdn.rebrickable.com/media/sets/329-1.jpg
Star Wars II: The Original Trilogy - PC CD-ROM,2006,Video Games and Accessories,742,0,https://cdn.rebrickable.com/media/sets/32918-1.jpg
Bernard Bear and his Delivery Lorry,1979,Fabuland,390,27,https://cdn.rebrickable.com/media/sets/329-2.jpg
Dizzy's Bridge Set,2005,Bob the Builder,626,20,https://cdn.rebrickable.com/media/sets/3292-1.jpg
Antique Car,1968,Samsonite,756,111,https://cdn.rebrickable.com/media/sets/329-3.jpg
Benny's Dig Set,2005,Bob the Builder,626,20,https://cdn.rebrickable.com/media/sets/3293-1.jpg
Star Wars II: The Original Trilogy - PSP,2006,Video Games and Accessories,742,0,https://cdn.rebrickable.com/media/sets/32939-1.jpg
Muck's Recycling Set,2005,Bob the Builder,626,33,https://cdn.rebrickable.com/media/sets/3294-1.jpg
Roley's Road Set,2005,Bob the Builder,626,26,https://cdn.rebrickable.com/media/sets/3295-1.jpg
Star Wars II: The Original Trilogy - Gamecube,2006,Video Games and Accessories,742,0,https://cdn.rebrickable.com/media/sets/32958-1.jpg
Star Wars II: The Original Trilogy - Game Boy Advance,2006,Video Games and Accessories,742,0,https://cdn.rebrickable.com/media/sets/32960-1.jpg
Travis and the Mobile Caravan,2005,Bob the Builder,626,26,https://cdn.rebrickable.com/media/sets/3296-1.jpg
Star Wars II: The Original Trilogy - DS,2006,Video Games and Accessories,742,0,https://cdn.rebrickable.com/media/sets/32961-1.jpg
Scoop and Lofty at the Building Yard,2005,Bob the Builder,626,61,https://cdn.rebrickable.com/media/sets/3297-1.jpg
Star Wars II: The Original Trilogy - Xbox,2006,Video Games and Accessories,742,0,https://cdn.rebrickable.com/media/sets/3297501-1.jpg
Star Wars II: The Original Trilogy - Xbox 360,2006,Video Games and Accessories,742,0,https://cdn.rebrickable.com/media/sets/3297601-1.jpg
Lift and Load Sumsy,2006,Bob the Builder,626,12,https://cdn.rebrickable.com/media/sets/3298-1.jpg
Scrambler and Dizzy at Bob's Workshop,2006,Bob the Builder,626,50,https://cdn.rebrickable.com/media/sets/3299-1.jpg
The Brick Apple,2010,LEGO Brand Store,408,133,https://cdn.rebrickable.com/media/sets/3300000-1.jpg
Brickley,2011,LEGO Brand Store,408,197,https://cdn.rebrickable.com/media/sets/3300001-1.jpg
Holiday Set 2 of 2,2011,Christmas,227,117,https://cdn.rebrickable.com/media/sets/3300002-1.jpg
LEGO Brand Retail Store,2012,LEGO Brand Store,408,280,https://cdn.rebrickable.com/media/sets/3300003-1.jpg
Copenhagen,2011,LEGO Brand Store,408,56,https://cdn.rebrickable.com/media/sets/3300005-1.jpg
Routemaster Bus,2011,LEGO Brand Store,408,117,https://cdn.rebrickable.com/media/sets/3300006-1.jpg
Holiday Set,2012,Christmas,227,109,https://cdn.rebrickable.com/media/sets/3300014-1.jpg
Holiday Set 1 of 2,2011,Christmas,227,98,https://cdn.rebrickable.com/media/sets/3300020-1.jpg
Harold the Helicopter,2006,Thomas & Friends,631,7,https://cdn.rebrickable.com/media/sets/3300-1.jpg
Armor Case Kit for Nintendo DS - Star Wars,2009,Video Games and Accessories,742,22,https://cdn.rebrickable.com/media/sets/330059-1.jpg
Play and Build Kit for Nintendo DS - Star Wars - Obi Wan Kenobi,2011,Video Games and Accessories,742,9,https://cdn.rebrickable.com/media/sets/330081-1.jpg
Armor Case Kit for Nintendo DSi - Star Wars III: The Clone Wars,2011,Video Games and Accessories,742,25,https://cdn.rebrickable.com/media/sets/330085-1.jpg
Basic Building Set,1985,Basic,467,158,https://cdn.rebrickable.com/media/sets/330-1.jpg
Cranky-Loading Crane,2006,Thomas & Friends,631,34,https://cdn.rebrickable.com/media/sets/3301-1.jpg
Star Wars: The Complete Saga - PC DVD-ROM,2009,Video Games and Accessories,742,0,https://cdn.rebrickable.com/media/sets/33018-1.jpg
Gas Station,1978,Building Set with People,364,212,https://cdn.rebrickable.com/media/sets/330-2.jpg
Soccer Field,1998,Soccer,462,2,https://cdn.rebrickable.com/media/sets/3302-1.jpg
Jeep,1968,System,365,65,https://cdn.rebrickable.com/media/sets/330-3.jpg
Field Accessories,1998,Soccer,462,51,https://cdn.rebrickable.com/media/sets/3303-1.jpg
Star Wars: The Complete Saga - PS3,2007,Video Games and Accessories,742,0,https://cdn.rebrickable.com/media/sets/33038-1.jpg
Jeep,1968,Samsonite,756,65,https://cdn.rebrickable.com/media/sets/330-4.jpg
Dutch National Player,1998,Soccer,462,4,https://cdn.rebrickable.com/media/sets/3304-1.jpg
World Team Player,1998,Soccer,462,4,https://cdn.rebrickable.com/media/sets/3305-1.jpg
World Team Player - Limited Edition (England),1998,Soccer,462,4,https://cdn.rebrickable.com/media/sets/3305-2.jpg
World Team Player - Limited Edition (Netherlands),1998,Soccer,462,4,https://cdn.rebrickable.com/media/sets/3305-3.jpg
Soccer Goalies,1998,Soccer,462,8,https://cdn.rebrickable.com/media/sets/3306-1.jpg
Star Wars: The Complete Saga - DS,2007,Video Games and Accessories,742,0,https://cdn.rebrickable.com/media/sets/33061-1.jpg
Star Wars: The Complete Saga - Wii,2007,Video Games and Accessories,742,0,https://cdn.rebrickable.com/media/sets/33063-1.jpg
Star Wars: The Complete Saga - Xbox 360,2007,Video Games and Accessories,742,0,https://cdn.rebrickable.com/media/sets/33076-1.jpg
Tribune,1998,Soccer,462,86,https://cdn.rebrickable.com/media/sets/3308-1.jpg
Head Tribune,1998,Soccer,462,96,https://cdn.rebrickable.com/media/sets/3309-1.jpg
Commentator and Press Box,1998,Soccer,462,95,https://cdn.rebrickable.com/media/sets/3310-1.jpg
Dump Truck,1967,System,365,45,https://cdn.rebrickable.com/media/sets/331-1.jpg
Camera Tower,1998,Soccer,462,100,https://cdn.rebrickable.com/media/sets/3311-1.jpg
Dump Truck,1968,Samsonite,756,45,https://cdn.rebrickable.com/media/sets/331-2.jpg
Medic's Station,1998,Soccer,462,79,https://cdn.rebrickable.com/media/sets/3312-1.jpg
